Samskrit Word	Samskrit_GenderTelugu	Telugu_Word	Telugu _Gender
ADya		Xanikudu	
ASApASa		ASA_baMXamulu	
Sawa		nUru^vaMxa^aneka_viXamuluga	
ASaya		nivAsa_sWAnaM	
AScarya		AScaryamu	
AScaryavaw		AScaryamu	
ASu		wvaraga^veVMtane	
AXipawya		Axipawyamu	
A_paw2			
AcAra		AcAramu	
AcArya		AcAryudu	
upAsana		seva^ArAXana^upAsanamu	
Acaraw		AcaraNa	*
Af-brahman-Buvana			*
Af_KyA1			
Af_Sri1			
Af_Svas1_Nic			
Af_XA1			
Af_car1			
Af_gam1			
Af_pUr1			
Af_pax1			
Af_raB1			
Af_sWA1			
Af_sax1			
Af_viR2			
Af_viS1			
Af_vq2			
Af_vqw1			
Af_xA3			
Agama		Agama	
apAyin		apAyamu	
AgamApAyin		ASaSvawamEnaxi^janana_maraNaM_kalaxi	
AhAra		AhAramu^Bojanamu	
Ahava		yuxXamu^yajFamu	
Aho		Aho^o	
Ajya		Ajyamu^neVyyi	
AkASa		AkASamu	
sWiwa		unnaxi^niScaludu	
Ap1			
ApUryamANa		aMwata_vyApiMcunaxi	
ArAXana		ArAXana	
AramBa		AraMBamu	
Arjava		saralYwa^nijAyiwi	
ArurukRu		unnawi_ceVMxavaleVnani_icca_kalavAdu	
Arwa		xuHKamu	
As1			
AsWiwa		vasiMcina	
Asakwa		sWirudu^Asakwudu	
manas		manassu	
Asana		Asanamu	
AsurI			
Asura		Asura^rAkRasa	
niScaya		niScayamu^nirNayamu	
Aswikya		AswikawvaM	
AveSiwa-cewas			
Avqwwi		prayAyamu	
AwawAyin		SaswraprahAramu_ceyuvAdu	
AwmA		Awma	
Opamya		samarUpamu	
rawi		anurAgamu	
Awman		Awma	
Awman-BAva-sWa			
SuxXi		SuxXi	
prasAxa		prsAxamu^prasannamu^anugrahamu	
kAraNa		kAraNamu^sAXanamu	
mAyA		mAya	
para		para^iwara	
xeha		xehamu^SarIramu^menu	
saMsWa		saMsWa^vyavasWa	
saMyama		saMyamanamu^iMxriya_nigrahamu	
yoga		yoga^yogamu^XyAnamu	
agni		agni	
samBAviwa		samBAviwa^sammAniwa^gOraviwa	
vaSya		vaSamEnaxi	
viBUwi		viBUwi^Esvaryamu	
viSuxXi		viSuxXi^SuxXi	
vinigraha		nigrahamu^niyaMwramu	
wqpwa		wqpwi	
Awman-yoga			
Awmavaw		svasWa_ciwwudu	
Awyanwika		awyaXikamu^aMwamu_lenixi	
AxarSa		AxarSamu	*
Axi		Axi	
anwavaw		aMwamu	
karwq		sqRti_karwa^ceyuvAdu	
xeva		xevudu^xevawa	
Axiwya		Axiwya^Axiwyudu	
gawa		gawa^gawiMcinaxi	
varNa		varNamu^raMgu	
Axiwyavaw		Axiwyudi_lAgA	
Axya		Axyamu	
AyuXa		AyuXamu	
Ayus		Ayuvu^jIviwa_kAlamu	
sawwva		sawwvamu^Sakwi	
bala		balamu	
Arogya		Arogyamu	
suKa		suKamu	
prIwi		prIwi	
vivarXana		varXanamu	
BAR1			
BARA		BARa	
BArawa		Barawa^Barawamu	
BAs		prakASamu^kAMwi	
BAs1_Nic			
BAsvaw		prakASiMcuta	
BAva		Bava^manovikAramu	
saMSuxXi		SuxXi^svacCaM	
samanviwa		samanviwa^sambaxXa	
BAvanA		Bavana^Alocana	
BEkRya		BikRa^BikRA_samUhamu	
BIRma		BIRmudu^BayaMkara	
aBirakRiwa		rakRiMpabadina	
xroNa		xroNudu	
pramuKawa		pramuKawvamu	
Bima		Bimudu	
arjuna		arjunudu	
sama		samAnamu	
karman		karma^pani^ceyuta	
BIwa		Biwa^Bayamu	
BIwa-BIwa			
BU		BU^Bumi	
BU1			
BU1_Nic			
BUmi		Bumi	
BUwa		Buwa^prANi	
Axi		Axi^moVxalagu	
uxBava		uwpawwi^OxAryaM	
kara		kara^ceyuvAdu	
BUwa-BAvana			
Barwq		Barwa^rAju^praBuvu	
Bqw		BariMcuvAdu^kaluguvAdu	
ISa		ISa^ISvarudu^sqRtikarwa	
gaNa		gaNa^gaNamu	
grAma		grAmamu	
ijya		guruvu^xevawa^pUja	
mahaw		mahawwu^goppaxi	
Isvara		Isvarudu	* Is it Isvara
pqWak		veru^BinnaM^prawyekamu	
prakqwi		prakqwi^jIvamu^svaBAvamu	
mokRa		mokRamu	
sWa		sWiwi^sWiwi_Siludu	
sarga		sargamu^sqRti	
viSeRa		viSeRa^awyaMwa	
safGa		saMGamu^samUhamu	
BUwi		Buwi^Bagyamu^Esvaryamu	
BUyaH		marala^malYlYi	
Bagavaw		BagavaMwudu^Isvarudu	
Baj1			
Bakwa		Bakwudu	
Bakwi		Bakwi	
Bakwi-upa_hq1			
Bakwi-yoga			
Bakwimaw		Bakwudu^Bakwi_kalavAdu	
BarawaSreRTa		Barawa_SreRTudu	*
BarawarRaBa		BarawarRaBa^BarawaxeSa_rAju	
Barawasawwama		Barawasawwama^BarawaSreRTa	
Barwq			
BasmasAw		Basmam_ceyuta	
Bava		Bava^prApwi^janmamu	
apyaya		nASamu	
Bavaw		jarugunaxi^uMdunaxi	
BaviRya		BaviRya^kAgalaxi	
BaviRyaw		BaviRyaw_kAlamu^jaragaboyexi	
BayAnaka		BayAnakamu^BayaMkaramu	
BayAvaha		BayAvaha^Bayamunu_kaligiMcunaxi	
Baya		Bayamu	
aBaya		aBayamu^Bayamu_lekapovuta	
BerI		BerI	
Bexa		Bexamu	
BinnA		Binnamu	
Boga		Bogamu	
Esvarya		Esvaryamu	
gawi		gawi	
prasakwa		Asakwudu	
Bogin		Bogi^suKI^Bogamu_anuBaviMcuvAdu	
Bojana		Bojanamu	
Bokwq		Bogi^rAju^Bojanamu_ceyuvAdu	
Bokwqwva		anuBaviMcuta	
Bq2			
Bqgu		Bqgu_maharRi	
BrAwq		sahoxarudu^wodabuttinavAdu	
BrU		kanubomma	
Bram1			
Bram2_Nic			
Buj2			
Cala		mosamu^vaMcana	
Canxas		Canxassu^icca	
Cinna		Cinna^Cexana	
aBra		AkASamu^meGamu	
saMSaya		saMSayamu	
xvEXa		xviwvamu^reMdu_viXamulu	
Cix1			
ESvara		Isvaruniki_saMbaMXiMcinaxi	
ErAvawa		ErAvawamu	
GoRa		GoRa^Xvani	
Gora		GoramEnaxi^BayaMkaramu	
GrA1			
GrANa		vAsana^nAsika	
ISa		ituvaMtixi	
ISvara		Isvarudu	
ISvara-BAva			
Id1			
Ih1			
IkR1			
IxqS			
JaRa		cepa^adavi	
Ka		AkASamu	
ORaXa		ORaXamu	
Pala		Palamu	
AkAfkRin		AsiMcuvAdu^koruvAdu	
hewu		hewuvu^kAraNamu	
RWA1			
RaR		Rat^Aru	
mAsa		mAsamu	
Ranja1			
SAKA		SAKa^cettu_komma^Bujamu	
SASvawI		SASvawamEnaxi^niwyamEnaxi	
SASvawa		SASvawamu^niwyamu	
Xarman		Xarmamu	*
gopwq		rakRakudu^rAju	
SAnwa		Sanwi_poVMxinavAdu	
rajas		rajoguNamu	
SAnwi		SAMwi^Samanamu	
SArIra		SarIra_saMbaMXa	
SAs1			
SAswra		Saswramu	
SAswra-viXAna-vac1			
viXAna		viXAnamu	
viXi		viXi^niyamamu	
SEbya		Sebya	*
Siwa		Siwamu	
uRNa		uRNamu	
xuHKa		xuHKamu	
xa		iccuvAdu^iccunaxi	
SOca		Socamu^pariSuBrawa	
SOrya		Soryamu	
SUra		Surudu	
SUxra		Suxrudu	
SaMs1			
SaSAfka		SaSAfkudu^caMxrudu	
SaSin		SaSi^caMxrudu	
